10.2.67.161;"lemoraes"
10.2.67.16;"aosantos"
10.2.67.172;"BRQ\scordova"
10.2.67.175;"BRQ\fabianoprazeres"
10.2.67.185;"BRQ\alanpenha"
10.2.67.188;"BRQ\haroldoassis"
10.2.67.198;"BRQ\douglasmartinez"
10.2.67.202;"rvettorazzo"
10.2.67.210;"BRQ\mcobo"
10.2.67.213;"marciafeitosa"
10.2.67.214;"rosericcetto"
10.2.67.220;"BRQ\paulo.real"
10.2.67.221;"BRQ\c.monteiro"
10.2.67.223;"BRQ\ingridlopesrufino"
10.2.67.228;"BRQ\latanza"
10.2.67.231;"BRQ\josebamorim"
10.2.67.23;"BRQ\ssbarboza"
10.2.67.240;"BRQ\acfilho"
10.2.67.249;"BRQ\dnunes"
10.2.67.252;"felipevale"
10.2.67.254;"BRQ\emoisinho"
10.2.67.29;"BRQ\azanardi"
10.2.67.2;"BRQ\bpalaria"
10.2.67.32;"lmarconi"
10.2.67.34;"BRQ\avaleriano"
10.2.67.35;"BRQ\emarquessantos"
